trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
244,False,"{'a': 0.5, 'e': 0.0860968935072644}",25,12,1.8614685039583887,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08523592457219176}",20,8,20.860832519277132,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08438356532646984}",25,18,10.153172342908114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.08353972967320515}",20,1,-22.26549632183254,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.0827043323764731}",20,10,17.550935411873652,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08187728905270836}",25,0,-27.44528695266163,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
250,False,"{'a': 0.5, 'e': 0.08105851616218128}",20,0,21.580444237430967,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
251,False,"{'a': 0.5, 'e': 0.08024793100055946}",25,0,-20.273222883811066,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
252,False,"{'a': 0.5, 'e': 0.07944545169055386}",30,18,18.145626438477564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07865099717364833}",20,9,21.539579266109342,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.07786448720191184}",30,10,-33.38032884095615,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
255,False,"{'a': 0.5, 'e': 0.07708584232989273}",25,0,21.771084306897464,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
256,False,"{'a': 0.5, 'e': 0.0763149839065938}",20,9,17.649069859866856,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.07555183406752786}",25,0,41.980296023023925,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
258,False,"{'a': 0.5, 'e': 0.07479631572685258}",20,2,8.505773261630699,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.07404835256958406}",20,14,13.16178437481017,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07330786904388821}",20,0,33.77813460533391,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
261,False,"{'a': 0.5, 'e': 0.07257479035344933}",20,14,9.626237980878344,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.07184904244991483}",25,14,-2.6376773022280893,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
