trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
235,False,"{'a': 0.5, 'e': 0.89156828819532896}",25,16,-43.52225353071805,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
236,False,"{'a': 0.5, 'e': 0.89066073309243698}",30,0,-93.30409068605606,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
237,False,"{'a': 0.5, 'e': 0.88974961534780028}",25,0,-136.8241218949733,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
238,False,"{'a': 0.5, 'e': 0.88883493860588858}",20,0,-20.291181394194208,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
239,False,"{'a': 0.5, 'e': 0.88791670652540744}",20,0,-92.13055128566175,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
240,False,"{'a': 0.5, 'e': 0.88699492277928416}",25,0,-54.74026907505989,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
241,False,"{'a': 0.5, 'e': 0.88606959105465244}",30,0,-106.23507454511319,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
242,False,"{'a': 0.5, 'e': 0.88514071505283787}",25,0,-87.24552810404498,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
243,False,"{'a': 0.5, 'e': 0.88420829848934335}",25,0,-190.28671203331473,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 4}",0
244,False,"{'a': 0.5, 'e': 0.88327234509383379}",20,0,-102.25915077185722,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
245,False,"{'a': 0.5, 'e': 0.88233285861012145}",30,0,-125.75539529320677,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
246,False,"{'a': 0.5, 'e': 0.88138984279615129}",30,0,-258.018384015854,"{0: 15, 1: 0, 2: 10, 3: 1, 4: 4}",0
247,False,"{'a': 0.5, 'e': 0.88044330142398497}",25,0,-40.29389796894979,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.87949323827978698}",20,0,-69.75987027163517,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
249,False,"{'a': 0.5, 'e': 0.87853965716380844}",25,3,-107.97321970016529,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 1}",1
250,False,"{'a': 0.5, 'e': 0.87758256189037276}",20,0,-106.4984438805185,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
251,False,"{'a': 0.5, 'e': 0.87662195628785955}",25,0,1.9035611240334704,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
252,False,"{'a': 0.5, 'e': 0.87565784419868997}",20,0,-110.91832050063076,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
253,False,"{'a': 0.5, 'e': 0.87469022947931119}",20,0,-56.34185597400672,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
254,False,"{'a': 0.5, 'e': 0.87371911600018071}",20,0,-136.08284390562463,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
255,False,"{'a': 0.5, 'e': 0.87274450764575129}",25,0,-90.43035081329086,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
256,False,"{'a': 0.5, 'e': 0.87176640831445484}",35,13,-108.19595738407155,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.87078482191868756}",20,0,-114.57445805773077,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",1
258,False,"{'a': 0.5, 'e': 0.86979975238479357}",25,0,-81.93573830667802,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
259,False,"{'a': 0.5, 'e': 0.86881120365304987}",20,0,-106.24540180276095,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
260,False,"{'a': 0.5, 'e': 0.86781917967764988}",20,0,-140.36401725007406,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
261,False,"{'a': 0.5, 'e': 0.86682368442668833}",25,0,-133.28725723481435,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
262,False,"{'a': 0.5, 'e': 0.86582472188214477}",30,0,-97.29220783970696,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
263,False,"{'a': 0.5, 'e': 0.86482229603986827}",25,0,-117.35671160820954,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
264,False,"{'a': 0.5, 'e': 0.86381641090956052}",30,0,-126.79382677013729,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
265,False,"{'a': 0.5, 'e': 0.86280707051476102}",25,0,-170.31423923095866,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
266,False,"{'a': 0.5, 'e': 0.86179427889282978}",20,0,-164.84474158101926,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
267,False,"{'a': 0.5, 'e': 0.86077804009493208}",25,0,-145.56630061257968,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
268,False,"{'a': 0.5, 'e': 0.85975835818602175}",25,5,-108.56724181926053,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",1
269,False,"{'a': 0.5, 'e': 0.85873523724482492}",20,0,-51.07680749022055,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
270,False,"{'a': 0.5, 'e': 0.85770868136382417}",20,0,-126.27537456587386,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
271,False,"{'a': 0.5, 'e': 0.85667869464924151}",20,5,-50.227295849375736,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.85564528122102246}",20,0,-116.09630515995309,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
273,False,"{'a': 0.5, 'e': 0.85460844521281953}",25,0,-183.71218666128394,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
274,False,"{'a': 0.5, 'e': 0.8535681907719751}",20,16,5.900212996649385,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.85252452205950568}",25,7,-26.640636621400102,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.85147744325008479}",20,0,-45.368155932451614,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
277,False,"{'a': 0.5, 'e': 0.85042695853202621}",25,11,-20.388724370751135,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.84937307210726731}",25,0,-112.32195277594394,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.84831578819135256}",20,0,-106.07373908125338,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
280,False,"{'a': 0.5, 'e': 0.84725511101341611}",30,0,-180.99075418167925,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
281,False,"{'a': 0.5, 'e': 0.84619104481616525}",30,0,-63.32529210102363,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
282,False,"{'a': 0.5, 'e': 0.84512359385586344}",20,0,-74.8586820893922,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
283,False,"{'a': 0.5, 'e': 0.84405276240231297}",25,4,-104.73076764336759,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 2}",1
284,False,"{'a': 0.5, 'e': 0.84297855473883831}",25,0,-154.23042787331897,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
285,False,"{'a': 0.5, 'e': 0.84190097516226869}",30,0,-227.02794503953953,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
286,False,"{'a': 0.5, 'e': 0.84082002798292099}",20,0,-131.03970887366467,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",1
287,False,"{'a': 0.5, 'e': 0.83973571752458243}",25,8,-126.80677590873566,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 3}",1
288,False,"{'a': 0.5, 'e': 0.83864804812449334}",25,0,-208.5887738193507,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
289,False,"{'a': 0.5, 'e': 0.83755702413333011}",20,0,-156.91203213686825,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
290,False,"{'a': 0.5, 'e': 0.83646264991518693}",20,0,-43.632025226033036,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.8353649298475595}",20,0,-112.56355980034637,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
292,False,"{'a': 0.5, 'e': 0.83426386832132637}",35,0,-89.02767477681233,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
293,False,"{'a': 0.5, 'e': 0.83315946974073241}",20,0,-111.06082697749792,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
294,False,"{'a': 0.5, 'e': 0.83205173852337033}",25,15,-26.107143120797858,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
295,False,"{'a': 0.5, 'e': 0.83094067910016356}",25,0,-113.27664983793997,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
296,False,"{'a': 0.5, 'e': 0.82982629591534829}",35,18,-17.070899332067608,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.82870859342645575}",20,9,-9.153143326930692,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.82758757610429456}",25,0,-85.14814994599706,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
299,False,"{'a': 0.5, 'e': 0.82646324843293228}",25,0,-82.43213553027702,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
300,False,"{'a': 0.5, 'e': 0.82533561490967833}",25,0,-121.99623754022355,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
301,False,"{'a': 0.5, 'e': 0.82420468004506509}",20,0,-100.7107037132887,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
302,False,"{'a': 0.5, 'e': 0.82307044836283072}",20,0,-39.494847166245265,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
303,False,"{'a': 0.5, 'e': 0.82193292439990029}",25,10,-59.365292077999534,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
