trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1855,False,"{'a': 0.5, 'e': 0.59983616182173483}",20,0,-22.575787766244034,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
1856,False,"{'a': 0.5, 'e': 0.59943602543267338}",20,0,-59.78093205136706,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
1857,False,"{'a': 0.5, 'e': 0.59903573918460873}",20,6,-34.52395082389344,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
1858,False,"{'a': 0.5, 'e': 0.59863530317761238}",20,7,-2.811738483174201,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
1859,False,"{'a': 0.5, 'e': 0.59823471751179347}",20,0,-85.53945888726753,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
1860,False,"{'a': 0.5, 'e': 0.59783398228729823}",25,0,-70.6310557192399,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
1861,False,"{'a': 0.5, 'e': 0.59743309760431051}",20,0,25.874533251043797,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1862,False,"{'a': 0.5, 'e': 0.5970320635630515}",20,11,3.3360837865421367,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1863,False,"{'a': 0.5, 'e': 0.59663088026377975}",20,0,-31.190500247900605,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
1864,False,"{'a': 0.5, 'e': 0.59622954780679105}",20,0,-60.94300762736547,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
1865,False,"{'a': 0.5, 'e': 0.59582806629241847}",20,0,-39.23832016994539,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1866,False,"{'a': 0.5, 'e': 0.59542643582103238}",20,5,-16.743912650383432,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
1867,False,"{'a': 0.5, 'e': 0.59502465649304048}",30,0,-178.98093461791342,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
1868,False,"{'a': 0.5, 'e': 0.59462272840888752}",35,1,-71.52227333236523,"{0: 29, 1: 1, 2: 2, 3: 0, 4: 2}",1
1869,False,"{'a': 0.5, 'e': 0.59422065166905569}",20,3,-75.98375004861938,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
1870,False,"{'a': 0.5, 'e': 0.5938184263740639}",20,12,-26.681493841774913,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1871,False,"{'a': 0.5, 'e': 0.59341605262446862}",20,8,6.685022238357417,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1872,False,"{'a': 0.5, 'e': 0.59301353052086325}",30,10,-7.675545897524558,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
1873,False,"{'a': 0.5, 'e': 0.59261086016387843}",30,20,-60.07581302854916,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
1874,False,"{'a': 0.5, 'e': 0.59220804165418162}",20,3,-47.8720518022587,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
1875,False,"{'a': 0.5, 'e': 0.59180507509247748}",20,10,-61.57731141652008,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
1876,False,"{'a': 0.5, 'e': 0.59140196057950767}",20,0,5.033880996409845,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
1877,False,"{'a': 0.5, 'e': 0.59099869821605078}",30,15,-20.38296907642793,"{0: 9, 1: 5, 2: 1, 3: 0, 4: 0}",1
1878,False,"{'a': 0.5, 'e': 0.59059528810292239}",20,15,5.266404160783307,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1879,False,"{'a': 0.5, 'e': 0.59019173034097505}",20,13,11.939330591557692,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1880,False,"{'a': 0.5, 'e': 0.58978802503109817}",20,5,-1.87784889778409,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
1881,False,"{'a': 0.5, 'e': 0.58938417227421824}",30,2,-58.052595613637905,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 0}",1
1882,False,"{'a': 0.5, 'e': 0.58898017217129817}",20,0,-74.19751538221345,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
1883,False,"{'a': 0.5, 'e': 0.58857602482333815}",35,13,-37.93535517622128,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
1884,False,"{'a': 0.5, 'e': 0.58817173033137504}",20,11,-25.367230514080063,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1885,False,"{'a': 0.5, 'e': 0.58776728879648243}",20,0,-108.56384815139278,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
1886,False,"{'a': 0.5, 'e': 0.58736270031977056}",25,11,-6.391993290699364,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
1887,False,"{'a': 0.5, 'e': 0.58695796500238673}",25,10,-39.603871824639285,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
1888,False,"{'a': 0.5, 'e': 0.58655308294551467}",20,13,-13.974141868669003,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
1889,False,"{'a': 0.5, 'e': 0.58614805425037508}",20,0,-11.011463585375116,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
