trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99999950000004167}",25,0,-197.64431058219978,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.99999800000066663}",20,0,-88.95659283943357,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",30,0,-130.02280274224373,"{0: 18, 1: 0, 2: 11, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.99999200001066668}",20,0,-63.894219061143346,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.99998750002604164}",25,0,-210.55456073561945,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.99998200005399995}",30,0,-197.21052745525145,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.99997550010004155}",25,0,-230.05621552944496,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.99996800017066634}",25,0,-93.90645193895293,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.99995950027337421}",25,0,-180.0481169287096,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.99995000041666526}",20,0,-97.88159082326703,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.99993950061003922}",25,0,-57.7431754237722,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,0,-55.951340001086805,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.99991550119003492}",30,0,-137.34536830546818,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.99990200160065623}",20,0,-135.68449747546043,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.99988750210935917}",30,0,-96.9148664456229,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.99987200273064336}",20,0,-97.97226232220395,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.99985550348000818}",25,0,-175.17329275014882,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.99983800437395276}",20,0,-27.707466667135908,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.99981950542997633}",25,0,-85.33508810387599,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.99980000666657776}",30,0,-118.85175740545512,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.99977950810325589}",20,0,-81.14253895649391,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.99975800976050921}",25,0,-213.45343184661613,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 5}",0
23,False,"{'a': 0.5, 'e': 0.9997355116598361}",25,0,-113.06116781250691,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.99971201382373454}",20,0,-21.936659946902328,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
