trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.99911812964637658}",25,0,-190.60069167112275,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.99907564244126223}",20,0,-39.31380065796147,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.99903215616058882}",20,8,-25.162248765946835,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.99898767084784246}",20,0,-109.94181758001766,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.99894218654750844}",20,0,-137.06440927032259,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.99889570330507116}",20,0,-211.69601918681744,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.99884822116701377}",20,0,-82.03631985726956,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.99879974018081852}",20,0,-155.5729678535722,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.99875026039496628}",30,0,-268.3121911485325,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.99869978185893682}",25,0,-91.79213250853894,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.99864830462320886}",20,0,-130.9480290327881,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.99859582873925934}",20,10,-50.52065233662689,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.99854235425956439}",20,1,-150.07077452697547,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.99848788123759846}",20,0,-73.57853351876788,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.99843240972783442}",20,0,-53.95871588759117,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.99837593978574379}",20,0,-87.51900849213683,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.99831847146779662}",20,4,-119.73049673775678,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.99826000483146127}",20,0,-131.0995747492424,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.99820053993520419}",25,14,-66.99327641233222,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.99814007683849038}",20,0,-72.30033823692703,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9980786156017829}",20,0,-65.56427699100014,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.99801615628654294}",25,0,-110.90611752662655,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.99795269895522998}",20,0,-138.40119032484972,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.99788824367130113}",30,0,-184.20904418117235,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.99782279049921174}",20,0,-8.429018708747794,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.99775633950441511}",20,0,-80.05106339964532,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.99768889075336209}",25,0,-124.68060609123482,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.99762044431350139}",25,0,-118.43052936237464,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.99755100025327959}",30,0,-198.4672975393263,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.99748055864214058}",30,0,-160.91142815351938,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.99740911955052614}",20,0,-73.01382138568209,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.99733668304987522}",20,0,-25.05076266431181,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.99726324921262444}",20,0,-95.17273189784672,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,12,-21.406876255425814,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.99711338982305553}",30,0,-158.4296938434781,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.99703696442059675}",25,0,-196.23849958650317,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9969595419812568}",30,0,-134.85755721599668,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.99688112258245787}",30,0,-153.30075063872178,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.99680170630261944}",25,0,-86.9429511471795,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.99672129322115766}",25,0,-67.5995107958405,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.99663988341848586}",25,0,-129.60581603918433,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.99655747697601371}",25,0,-115.76346971383441,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.99647407397614751}",30,0,-75.64623094583928,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.99638967450229043}",25,0,-142.54075522982586,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.99630427863884197}",20,0,-175.95411103537728,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9962178864711978}",25,0,-197.73291386374117,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
